Timestamp,Soil Moisture (SM),Soil Temp (ST),Air Temp (AT),Air Pressure (AP),Air Humidity (AH)
2024-09-29 20:29:27,002.01,17.94,18.17,1020,56.38
2024-09-29 20:29:30,001.87,17.94,18.18,1020,56.39
2024-09-29 20:29:33,002.85,17.94,18.17,1020,56.41
2024-09-29 20:29:35,002.80,17.94,18.17,1020,56.42
2024-09-29 20:29:38,Error,Data format mismatch or incorrect length.
2024-09-29 20:29:41,002.06,18.00,18.17,1020,56.21
2024-09-29 20:29:43,002.01,17.94,18.17,1020,56.22
2024-09-29 20:29:46,Error,Data format mismatch or incorrect length.
2024-09-29 20:29:48,002.41,17.94,18.17,1020,56.28
2024-09-29 20:29:51,002.06,17.94,18.17,1020,56.27
2024-09-29 20:29:54,002.85,17.88,18.17,1020,56.28
2024-09-29 20:29:57,001.62,17.94,18.17,1020,56.30
2024-09-29 20:29:59,001.97,17.94,18.17,1020,56.29
2024-09-29 20:30:02,002.21,17.94,18.17,1020,56.37
2024-09-29 20:30:05,001.62,17.94,18.17,1020,56.42
2024-09-29 20:30:07,002.06,18.00,18.17,1020,56.41
2024-09-29 20:30:10,002.01,17.88,18.16,1020,56.26
2024-09-29 20:30:12,002.01,17.94,18.16,1020,56.27
2024-09-29 20:30:15,002.46,17.94,18.15,1020,56.16
2024-09-29 20:30:18,001.62,17.94,18.15,1020,56.22
2024-09-29 20:30:20,001.97,17.94,18.14,1020,56.21
2024-09-29 20:30:23,002.46,17.94,18.14,1020,56.19
2024-09-29 20:30:26,002.01,18.00,18.15,1020,56.18
2024-09-29 20:37:45,001.87,17.88,18.09,1020,56.56
2024-09-29 20:37:48,001.67,17.94,18.09,1020,56.49
2024-09-29 20:37:50,001.87,17.94,18.09,1020,56.49
2024-09-29 20:37:53,001.67,17.94,18.09,1020,56.53
2024-09-29 20:37:56,002.07,17.94,18.09,1020,56.58
2024-09-29 20:37:58,002.86,17.94,18.10,1020,56.55
2024-09-29 20:38:01,Error,Start character '$' not found.
2024-09-29 20:38:04,Error,Data format mismatch or incorrect length.
2024-09-29 20:38:06,002.21,17.94,18.10,1020,56.66
2024-09-29 20:38:09,002.41,17.94,18.10,1020,56.80
2024-09-29 20:39:22,Error,Start character '$' not found.
2024-09-29 20:39:25,002.41,17.94,18.10,1020,56.86
2024-09-29 20:39:28,002.85,18.00,18.10,1020,56.90
2024-09-29 20:39:30,001.87,17.94,18.11,1020,56.88
2024-09-29 20:39:33,002.85,17.94,18.11,1020,56.88
2024-09-29 20:39:35,001.87,17.94,18.11,1020,56.88
2024-09-29 20:39:38,001.87,17.94,18.11,1020,56.86
2024-09-29 20:39:41,001.87,17.94,18$002.85,17.94,
2024-09-29 20:39:43,002.01,17.94,18.10,1020,56.09
2024-09-29 20:39:46,001.87,18.00,18.10,1020,56.13
2024-09-29 20:39:49,001.67,17.94,18.10,1020,56.17
2024-09-29 20:39:52,001.57,18.00,18.10,1020,56.20
2024-09-29 20:39:54,002.51,17.94,18.11,1020,56.20
2024-09-29 20:39:57,001.97,18.06,18.11,1020,56.19
2024-09-29 20:39:59,002.46,17.94,18.11,1020,56.14
2024-09-29 20:40:02,001.87,18.00,18.11,1020,56.08
2024-09-29 20:40:05,002.41,18.00,18.11,1020,56.01
2024-09-29 20:40:07,003.64,18.00,18.12,1020,55.93
2024-09-29 20:40:10,002.06,17.94,18.12,1020,55.93
2024-09-29 20:40:13,002.85,17.94,18.11,1020,55.82
2024-09-29 20:40:15,002.85,17.88,18.11,1020,55.79
2024-09-29 20:40:18,002.60,17.94,18.11,1020,55.78
2024-09-29 20:40:21,002.01,17.88,18.11,1020,55.84
2024-09-29 20:40:23,002.46,17.94,18.11,1020,55.88
2024-09-29 20:40:26,001.97,17.88,18.11,1020,55.87
2024-09-29 20:40:29,001.97,17.94,18.12,1020,55.85
2024-09-29 20:40:31,001.62,17.94,18.12,1020,55.86
2024-09-29 20:40:34,002.85,17.88,18.12,1020,55.90
2024-09-29 20:40:37,001.62,17.88,18.13,1020,55.96
2024-09-29 20:40:39,002.60,17.88,18.13,1020,56.05
2024-09-29 20:40:42,001.62,17.94,18.13,1020,56.20
2024-09-29 20:40:45,002.85,17.88,18.12,1020,56.25
2024-09-29 20:40:47,002.06,17.94,18.13,1020,56.42
2024-09-29 20:40:50,002.01,17.94,18.13,1020,56.45
2024-09-29 20:40:53,003.64,17.94,18.12,1020,56.51
2024-09-29 20:40:55,002.01,17.94,18.13,1020,56.57
2024-09-29 20:40:58,002.85,17.88,18.13,1020,56.52
2024-09-29 20:41:01,003.64,18.00,18.14,1020,56.54
2024-09-29 20:41:03,002.01,17.94,18.14,1020,56.55
2024-09-29 20:41:06,002.06,17.94,18.14,1020,56.54
2024-09-29 20:41:09,002.85,17.94,18.13,1020,56.50
2024-09-29 20:41:11,002.46,17.94,18.13,1020,56.33
2024-09-29 20:41:14,002.01,18.00,18.13,1020,56.50
2024-09-29 20:41:17,001.97,18.00,18.13,1020,56.50
2024-09-29 20:41:19,002.01,18.00,18.13,1020,56.45
2024-09-29 20:41:22,001.67,18.00,18.13,1020,56.30
2024-09-29 20:41:25,002.41,18.00,18.13,1020,56.25
2024-09-29 20:41:27,002.06,17.94,18.14,1020,56.19
